City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,storforshei,66.4043,14.5233,2.88,37,20,3.6,NO,1682258915
316,palasa,18.7667,84.4167,25.79,75,83,0.7,IN,1682258916
317,anloga,5.7947,0.8973,33.05,55,94,5.65,GH,1682258442
318,normandin,48.8333,-72.5321,5.55,90,100,4.13,CA,1682258920
319,marsh harbour,26.5412,-77.0636,23.4,71,0,0.97,BS,1682258724
320,barahona,18.2085,-71.1008,26.9,74,40,3.09,DO,1682258922
321,kautokeino,69.0125,23.0412,-3.29,67,4,5.92,NO,1682258923
322,koumac,-20.5667,164.2833,25.06,84,100,3.95,NC,1682258924
323,shimoda,34.6667,138.95,12.28,79,100,2.34,JP,1682258857
324,mantua,45.1667,10.7833,25.05,55,54,2.24,IT,1682258927
325,ingersoll,43.0334,-80.883,5.75,82,84,5.54,CA,1682258928
326,qandala,11.472,49.8728,28.68,67,10,2.08,SO,1682258931
327,ntungamo,-0.8833,29.65,20.32,96,100,0.64,UG,1682258932
328,vao,-22.6667,167.4833,25.38,76,75,1.51,NC,1682258933
329,ostrovnoy,68.0531,39.5131,-2.16,73,22,9.08,RU,1682258934
330,najran,17.4924,44.1277,24.68,51,60,2.87,SA,1682258935
331,umea,63.8284,20.2597,1.06,55,100,5.66,SE,1682258856
332,kaitangata,-46.2817,169.8464,9.4,61,28,6.97,NZ,1682258938
333,sola,-13.8833,167.55,27.58,76,25,6.66,VU,1682258507
334,fort nelson,58.8053,-122.7002,1.08,79,99,3.13,CA,1682258940
335,geraldton,-28.7667,114.6,21.23,83,40,3.6,AU,1682258942
336,bull savanna,17.8868,-77.5902,25.81,63,1,1.12,JM,1682258943
337,zaysan,47.4667,84.8667,8.84,35,11,2.4,KZ,1682258944
338,fortuna,40.5982,-124.1573,11.86,96,100,0.45,US,1682258502
339,otjiwarongo,-20.4637,16.6477,30.76,27,55,4.26,NA,1682258947
340,cayenne,4.9333,-52.3333,28.02,78,100,2.57,GF,1682258948
341,chilca,-12.5211,-76.7372,23.37,79,19,2.91,PE,1682258949
342,lata,40.1629,-8.3327,20.6,50,61,4.55,PT,1682258950
343,bubaque,11.2833,-15.8333,28.4,56,7,3.7,GW,1682258483
344,cooma,-36.2333,149.1333,10.96,86,98,1.45,AU,1682258953
345,okhotsk,59.3833,143.3,-2.86,70,93,6.86,RU,1682258954
346,filadelfia,39.9523,-75.1638,16.46,74,40,5.66,US,1682258215
347,bilma,18.6853,12.9164,38.36,4,3,2.87,NE,1682258957
348,havoysund,70.9963,24.6622,0.13,73,100,7.66,NO,1682258960
349,zlobin,45.2924,14.6541,15.61,45,0,2.06,HR,1682258961
350,aktash,50.3,87.7333,-8.67,81,21,1.48,RU,1682258962
351,bethel,41.3712,-73.414,13.06,89,100,1.79,US,1682258400
352,tual,-5.6667,132.75,28.4,79,100,5.57,ID,1682258399
353,brae,60.3964,-1.353,6.17,66,100,14.1,GB,1682258966
354,devils lake,48.1128,-98.8651,-0.94,88,0,4.12,US,1682258967
355,chipiona,36.7366,-6.437,28.1,46,0,4.12,ES,1682258968
356,aykhal,66.0,111.5,-8.38,93,100,0.24,RU,1682258454
357,sabang,5.8933,95.3214,29.4,67,100,0.85,ID,1682258971
358,thunder bay,48.4001,-89.3168,-4.01,74,40,2.06,CA,1682258739
359,koster,-25.863,26.8976,26.34,12,0,3.69,ZA,1682258974
360,sisimiut,66.9395,-53.6735,0.89,100,100,3.16,GL,1682258456
361,bud,39.447,-86.1758,5.52,68,87,4.23,US,1682258668
362,vostok,46.4856,135.8833,-1.08,97,100,1.64,RU,1682258977
363,nome,64.5011,-165.4064,-6.96,63,0,5.66,US,1682258906
364,yenagoa,4.9247,6.2642,30.12,71,100,2.96,NG,1682258980
